cloneUrl,origin,path,branch
git@github.com:modernetraining/example-ecom-common.git,github.com,modernetraining/example-ecom-common,main
git@github.com:modernetraining/example-ecom-security.git,github.com,modernetraining/example-ecom-security,main
git@github.com:modernetraining/example-ecom-rest-client.git,github.com,modernetraining/example-ecom-rest-client,main
git@github.com:modernetraining/example-ecom-product-service.git,github.com,modernetraining/example-ecom-product-service,main
git@github.com:modernetraining/example-ecom-customer-service.git,github.com,modernetraining/example-ecom-customer-service,main
git@github.com:modernetraining/example-ecom-order-service.git,github.com,modernetraining/example-ecom-order-service,main
git@github.com:modernetraining/example-ecom-inventory-service.git,github.com,modernetraining/example-ecom-inventory-service,main
git@github.com:modernetraining/example-ecom-notification-service.git,github.com,modernetraining/example-ecom-notification-service,main
git@github.com:modernetraining/example-ecom-kyc-service.git,github.com,modernetraining/example-ecom-kyc-service,main
git@github.com:modernetraining/example-ecom-risk-score-service.git,github.com,modernetraining/example-ecom-risk-score-service,main
git@github.com:modernetraining/example-ecom-fraud-detection-service.git,github.com,modernetraining/example-ecom-fraud-detection-service,main
